iter	Passed	Remaining
399	42061	63092
400	42162	62981
401	42271	62880
402	42373	62771
403	42477	62665
404	42581	62557
405	42682	62446
406	42782	62334
407	42888	62230
408	42993	62125
409	43092	62011
410	43199	61908
411	43304	61803
412	43406	61693
413	43510	61587
414	43616	61483
415	43715	61370
416	43818	61261
417	43926	61160
418	44025	61047
419	44126	60936
420	44228	60826
421	44329	60716
422	44434	60611
423	44534	60499
424	44635	60389
425	44737	60280
426	44844	60177
427	44945	60066
428	45048	59959
429	45149	59849
430	45255	59745
431	45354	59632
432	45460	59528
433	45563	59421
434	45666	59313
435	45769	59206
436	45875	59102
437	45977	58994
438	46079	58885
439	46186	58783
440	46290	58676
441	46394	58570
442	46502	58469
443	46605	58361
444	46709	58255
445	46815	58152
446	46921	58047
447	47021	57936
448	47123	57828
449	47228	57723
450	47331	57616
451	47432	57506
452	47533	57397
453	47637	57290
454	47735	57177
455	47847	57080
456	47953	56977
457	48057	56871
458	48163	56767
459	48268	56663
460	48375	56559
461	48477	56451
462	48577	56341
463	48683	56237
464	48789	56133
465	48894	56028
466	48999	55924
467	49103	55818
468	49207	55712
469	49314	55609
470	49416	55501
471	49520	55396
472	49626	55291
473	49727	55182
474	49829	55074
475	49927	54962
476	50031	54856
477	50135	54750
478	50239	54644
479	50343	54538
480	50446	54432
481	50553	54329
482	50658	54224
483	50761	54117
484	50861	54007
485	50963	53900
486	51066	53792
487	51166	53682
488	51266	53572
489	51366	53463
490	51472	53359
491	51578	53256
492	51680	53148
493	51784	53042
494	51883	52932
495	51988	52827
496	52094	52723
497	52195	52614
498	52301	52511
499	52406	52406
500	52513	52303
501	52618	52199
502	52718	52089
503	52823	51985
504	52924	51876
505	53031	51773
506	53131	51664
507	53232	51555
508	53334	51448
509	53436	51341
510	53539	51234
511	53638	51124
512	53738	51014
513	53837	50904
514	53940	50798
515	54043	50692
516	54143	50583
517	54248	50478
518	54352	50372
519	54455	50266
520	54563	50164
521	54666	50058
522	54771	49954
523	54878	49851
524	54981	49745
525	55083	49637
526	55187	49532
527	55291	49427
528	55394	49320
529	55496	49213
530	55602	49109
531	55706	49005
532	55807	48897
533	55916	48795
534	56024	48694
535	56129	48589
536	56233	48484
537	56338	48379
538	56445	48276
539	56548	48170
540	56653	48066
541	56755	47959
542	56858	47853
543	56959	47745
544	57064	47640
545	57168	47535
546	57271	47429
547	57370	47320
548	57471	47212
549	57574	47106
550	57677	47000
551	57783	46896
552	57888	46792
553	57994	46688
554	58095	46581
555	58202	46478
556	58303	46370
557	58404	46263
558	58505	46155
559	58604	46046
560	58711	45943
561	58811	45835
562	58915	45730
563	59023	45627
564	59128	45523
565	59231	45417
566	59333	45310
567	59441	45209
568	59554	45110
569	59660	45007
570	59764	44902
571	59880	44806
572	59987	44702
573	60093	44598
574	60197	44494
575	60298	44386
576	60401	44280
577	60507	44176
578	60614	44073
579	60719	43969
580	60828	43867
581	60936	43765
582	61038	43658
583	61142	43553
584	61264	43461
585	61370	43357
586	61472	43250
587	61574	43143
588	61676	43037
589	61776	42929
590	61878	42822
591	61980	42715
592	62083	42610
593	62185	42503
594	62290	42399
595	62395	42295
596	62497	42188
597	62596	42079
598	62703	41976
599	62808	41872
600	62912	41767
601	63019	41663
602	63125	41560
603	63231	41456
604	63335	41351
605	63442	41248
606	63546	41143
607	63651	41038
608	63756	40934
609	63872	40836
610	63980	40733
611	64082	40627
612	64186	40522
613	64293	40418
614	64402	40316
615	64508	40212
616	64611	40107
617	64713	40001
618	64819	39897
619	64923	39792
620	65031	39688
621	65136	39584
622	65240	39479
623	65347	39375
624	65449	39269
625	65554	39165
626	65658	39059
627	65760	38953
628	65862	38847
629	65964	38741
630	66067	38635
631	66169	38529
632	66273	38423
633	66379	38319
634	66481	38213
635	66588	38110
636	66691	38004
637	66793	37898
638	66897	37793
639	67000	37687
640	67102	37581
641	67207	37476
642	67312	37372
643	67416	37267
644	67515	37159
645	67617	37053
646	67718	36946
647	67821	36841
648	67921	36734
649	68021	36627
650	68123	36521
651	68226	36415
652	68333	36312
653	68439	36207
654	68539	36101
655	68641	35994
656	68741	35887
657	68844	35782
658	68948	35677
659	69054	35573
660	69172	35475
661	69278	35371
662	69382	35266
663	69486	35162
664	69593	35058
665	69694	34951
666	69799	34847
667	69902	34742
668	70006	34637
669	70111	34532
670	70215	34427
671	70317	34321
672	70425	34218
673	70529	34113
674	70635	34009
675	70740	33905
676	70844	33800
677	70947	33695
678	71052	33590
679	71159	33486
680	71262	33381
681	71365	33276
682	71470	33171
683	71572	33065
684	71673	32959
685	71781	32856
686	71889	32752
687	71993	32648
688	72095	32542
689	72199	32437
690	72305	32333
691	72406	32227
692	72509	32121
693	72608	32014
694	72712	31909
695	72816	31805
696	72918	31699
697	73020	31593
698	73129	31490
699	73233	31385
700	73341	31282
701	73442	31176
702	73547	31071
703	73652	30967
704	73759	30864
705	73866	30760
706	73970	30655
707	74073	30550
708	74178	30445
709	74282	30340
710	74392	30238
711	74495	30133
712	74600	30028
713	74701	29922
714	74807	29818
715	74907	29711
716	75009	29606
717	75116	29502
718	75220	29397
719	75322	29292
720	75426	29187
721	75534	29084
722	75640	28980
723	75743	28874
724	75848	28770
725	75956	28666
726	76057	28560
727	76166	28457
728	76271	28353
729	76373	28247
730	76473	28141
731	76576	28036
732	76683	27932
733	76788	27827
734	76890	27722
735	76995	27618
736	77097	27512
737	77199	27406
738	77304	27302
739	77408	27197
740	77508	27091
741	77613	26986
742	77717	26881
743	77822	26777
744	77925	26672
745	78030	26568
746	78136	26463
747	78242	26359
748	78346	26254
749	78446	26148
750	78551	26044
751	78653	25939
752	78757	25834
753	78863	25730
754	78968	25625
755	79070	25520
756	79173	25414
757	79277	25310
758	79379	25204
759	79483	25099
760	79585	24994
761	79686	24889
762	79788	24783
763	79892	24678
764	79999	24574
765	80105	24470
766	80211	24366
767	80319	24263
768	80423	24158
769	80526	24053
770	80632	23949
771	80736	23844
772	80836	23738
773	80939	23633
774	81052	23531
775	81163	23428
776	81264	23323
777	81366	23217
778	81472	23113
